data,Heap,Merge,Quick,Insertion,Bubble,Selection
10000,0.002955,0.003393,0.001761,0.075514,0.167981,0.139929
20000,0.004940,0.005074,0.002794,0.309184,0.638799,0.575854
30000,0.010383,0.009148,0.004353,0.690725,1.444752,1.258054
40000,0.010594,0.010314,0.005799,1.216271,2.534843,2.227746
50000,0.013419,0.013049,0.008028,1.899467,4.097180,3.579663
60000,0.016431,0.015809,0.009379,3.510891,5.971693,5.431597
70000,0.020883,0.021031,0.011700,4.597766,8.115570,6.869571
80000,0.022736,0.021753,0.013542,4.767126,11.070342,9.381060
90000,0.026916,0.025360,0.014482,6.580976,14.007359,12.001348
100000,0.032596,0.039224,0.020256,8.207333,16.880498,14.798954
